# predX, predY, predHeading, trueX, trueY, trueHeading
2.558104060477886854e+00,-2.759113779231579106e-02,6.121182573564747376e-01,2.789099999999999913e+00,2.129999999999999949e-02,1.260000000000000009e-02
2.584812884703241664e+00,-2.843648584019644460e-02,5.967035037357636407e-01,2.798500000000000210e+00,2.139999999999999888e-02,1.269999999999999948e-02
2.605455706682882067e+00,-2.933316291086283945e-02,5.766808678644621544e-01,2.802799999999999958e+00,2.149999999999999828e-02,1.269999999999999948e-02
2.622461863227511625e+00,-3.014055430156697274e-02,5.577057171713331041e-01,2.803199999999999914e+00,2.149999999999999828e-02,1.280000000000000061e-02
2.635781811353542725e+00,-3.039840527462559297e-02,5.343951947128086077e-01,2.803199999999999914e+00,2.139999999999999888e-02,1.280000000000000061e-02
2.646577897075722774e+00,-3.040155137131001287e-02,5.162946010527682539e-01,2.803100000000000147e+00,2.139999999999999888e-02,1.290000000000000001e-02
2.657258685507803531e+00,-3.077731606438711964e-02,4.978645540485951426e-01,2.802999999999999936e+00,2.139999999999999888e-02,1.290000000000000001e-02
2.668701406813376753e+00,-3.143526943747456531e-02,4.780681654428453609e-01,2.802999999999999936e+00,2.139999999999999888e-02,1.299999999999999940e-02
2.679181628355083777e+00,-3.273624808220220589e-02,4.624975761150447728e-01,2.802900000000000169e+00,2.139999999999999888e-02,1.299999999999999940e-02
2.688529688315692834e+00,-3.439761670600942345e-02,4.421830086762302825e-01,2.802700000000000191e+00,2.139999999999999888e-02,1.310000000000000053e-02
2.695325829636566528e+00,-3.689251300103926073e-02,4.236980453489149756e-01,2.802599999999999980e+00,2.139999999999999888e-02,1.310000000000000053e-02
2.702299118042296389e+00,-3.884783809555509421e-02,4.113072748402691325e-01,2.802500000000000213e+00,2.139999999999999888e-02,1.319999999999999993e-02
2.711423001664145183e+00,-4.134810836096722286e-02,3.959172343605037447e-01,2.802299999999999791e+00,2.139999999999999888e-02,1.319999999999999993e-02
2.719395851552564469e+00,-4.161563482104142786e-02,3.806875370824407412e-01,2.802099999999999813e+00,2.139999999999999888e-02,1.329999999999999932e-02
2.725863243332637520e+00,-4.104083181226302057e-02,3.670887300328410374e-01,2.801899999999999835e+00,2.139999999999999888e-02,1.329999999999999932e-02
2.731093055115578316e+00,-4.442465102575419295e-02,3.523125651806865433e-01,2.801699999999999857e+00,2.129999999999999949e-02,1.340000000000000045e-02
2.736848470788572740e+00,-4.461057481587162032e-02,3.393215379572918078e-01,2.801499999999999879e+00,2.129999999999999949e-02,1.340000000000000045e-02
2.741558658322521325e+00,-4.624246860527646275e-02,3.261885543391797593e-01,2.801299999999999901e+00,2.129999999999999949e-02,1.349999999999999985e-02
2.747425542811016363e+00,-4.740103143733959828e-02,3.120037618092892928e-01,2.801000000000000156e+00,2.129999999999999949e-02,1.349999999999999985e-02
2.749841304164701405e+00,-4.788774602084510529e-02,3.018868756002063281e-01,2.800800000000000178e+00,2.129999999999999949e-02,1.359999999999999924e-02
2.752361270830537165e+00,-4.829200192802390879e-02,2.917195396162488574e-01,2.800499999999999989e+00,2.129999999999999949e-02,1.359999999999999924e-02
2.755000327489850243e+00,-4.964445165689728573e-02,2.825393219193829131e-01,2.800199999999999800e+00,2.129999999999999949e-02,1.370000000000000037e-02
2.758708265002880466e+00,-5.060294735385438558e-02,2.728924218025305382e-01,2.799900000000000055e+00,2.129999999999999949e-02,1.370000000000000037e-02
2.760267962545531972e+00,-5.203603518220594609e-02,2.604715576015695921e-01,2.799599999999999866e+00,2.129999999999999949e-02,1.379999999999999977e-02
